x,y,vx,vy,Paddle.y
525,205,15,-15,531
540,190,15,-15,529
555,175,15,-15,527
570,160,15,-15,522
585,145,15,-15,519
600,130,15,-15,514
615,115,15,-15,507
630,100,15,-15,501
645,85,15,-15,498
660,70,15,-15,498
675,55,15,-15,497
690,40,15,-15,497
690,40,15,15,497
705,55,15,15,497
720,70,15,15,497
735,85,15,15,497
750,100,15,15,497
765,115,15,15,497
780,130,15,15,497
795,145,15,15,497
810,160,15,15,497
825,175,15,15,497
840,190,15,15,497
855,205,15,15,497
870,220,15,15,497
885,235,15,15,497
900,250,15,15,497
915,265,15,15,497
930,280,15,15,497
945,295,15,15,497
960,310,15,15,497
975,325,15,15,496
990,340,15,15,496
1005,355,15,15,496
1020,370,15,15,496
1035,385,15,15,496
1050,400,15,15,496
1065,415,15,15,496
1080,430,15,15,496
1095,445,15,15,496
1110,460,15,15,496
1125,475,15,15,496
1140,490,15,15,496
1155,505,15,15,496
1170,520,15,15,496
1170,520,-15,15,496
1155,535,-15,15,496
1140,550,-15,15,496
1125,565,-15,15,496
1110,580,-15,15,505
1095,595,-15,15,513
1080,610,-15,15,521
1065,625,-15,15,526
1050,640,-15,15,528
1035,655,-15,15,528
1020,670,-15,15,528
1005,685,-15,15,533
990,700,-15,15,534
975,715,-15,15,537
960,730,-15,15,539
945,745,-15,15,544
930,760,-15,15,550
930,760,-15,-15,551
915,745,-15,-15,552
900,730,-15,-15,557
885,715,-15,-15,566
870,700,-15,-15,573
855,685,-15,-15,573
840,670,-15,-15,573
825,655,-15,-15,573
810,640,-15,-15,573
795,625,-15,-15,573
780,610,-15,-15,573
765,595,-15,-15,573
750,580,-15,-15,573
735,565,-15,-15,573
720,550,-15,-15,573
705,535,-15,-15,573
690,520,-15,-15,573
675,505,-15,-15,573
660,490,-15,-15,573
645,475,-15,-15,573
630,460,-15,-15,573
615,445,-15,-15,573
600,430,-15,-15,573
585,415,-15,-15,573
570,400,-15,-15,574
555,385,-15,-15,575
540,370,-15,-15,575
525,355,-15,-15,581
510,340,-15,-15,582
495,325,-15,-15,585
480,310,-15,-15,588
465,295,-15,-15,596
450,280,-15,-15,604
435,265,-15,-15,607
420,250,-15,-15,607
405,235,-15,-15,607
390,220,-15,-15,608
375,205,-15,-15,609
360,190,-15,-15,610
345,175,-15,-15,611
330,160,-15,-15,611
315,145,-15,-15,615
300,130,-15,-15,616
285,115,-15,-15,616
270,100,-15,-15,618
255,85,-15,-15,618
240,70,-15,-15,618
225,55,-15,-15,620
210,40,-15,-15,621
210,40,-15,15,621
195,55,-15,15,621
180,70,-15,15,621
165,85,-15,15,621
150,100,-15,15,623
135,115,-15,15,627
120,130,-15,15,628
105,145,-15,15,628
90,160,-15,15,628
75,175,-15,15,628
60,190,-15,15,628
45,205,-15,15,628
30,220,-15,15,628
30,220,15,15,628
45,235,15,15,628
60,250,15,15,628
75,265,15,15,628
90,280,15,15,628
105,295,15,15,628
120,310,15,15,628
135,325,15,15,628
150,340,15,15,628
165,355,15,15,630
180,370,15,15,623
195,385,15,15,621
210,400,15,15,618
225,415,15,15,615
240,430,15,15,612
255,445,15,15,610
270,460,15,15,605
285,475,15,15,599
300,490,15,15,587
315,505,15,15,581
330,520,15,15,578
345,535,15,15,572
360,550,15,15,568
375,565,15,15,566
390,580,15,15,564
405,595,15,15,560
420,610,15,15,559
435,625,15,15,557
450,640,15,15,556
465,655,15,15,552
480,670,15,15,543
495,685,15,15,537
510,700,15,15,530
525,715,15,15,518
540,730,15,15,507
555,745,15,15,498
570,760,15,15,490
570,760,15,-15,482
585,745,15,-15,472
600,730,15,-15,453
615,715,15,-15,439
630,700,15,-15,423
645,685,15,-15,409
660,670,15,-15,383
675,655,15,-15,367
690,640,15,-15,358
705,625,15,-15,354
720,610,15,-15,341
735,595,15,-15,328
750,580,15,-15,320
765,565,15,-15,312
780,550,15,-15,305
795,535,15,-15,300
810,520,15,-15,297
825,505,15,-15,297
840,490,15,-15,296
855,475,15,-15,295
870,460,15,-15,295
885,445,15,-15,295
900,430,15,-15,291
915,415,15,-15,291
930,400,15,-15,291
945,385,15,-15,291
960,370,15,-15,283
975,355,15,-15,277
990,340,15,-15,271
1005,325,15,-15,261
1020,310,15,-15,252
1035,295,15,-15,246
1050,280,15,-15,238
1065,265,15,-15,232
1080,250,15,-15,224
1095,235,15,-15,218
1110,220,15,-15,210
1125,205,15,-15,203
1140,190,15,-15,201
1155,175,15,-15,195
1170,160,15,-15,191
1170,160,-15,-15,187
1155,145,-15,-15,181
1140,130,-15,-15,169
1125,115,-15,-15,163
1110,100,-15,-15,161
1095,85,-15,-15,152
1080,70,-15,-15,137
1065,55,-15,-15,136
1050,40,-15,-15,131
1050,40,-15,15,131
1035,55,-15,15,131
1020,70,-15,15,131
1005,85,-15,15,131
990,100,-15,15,131
975,115,-15,15,131
960,130,-15,15,131
945,145,-15,15,131
930,160,-15,15,131
915,175,-15,15,131
900,190,-15,15,131
885,205,-15,15,131
870,220,-15,15,131
855,235,-15,15,131
840,250,-15,15,131
825,265,-15,15,131
810,280,-15,15,131
795,295,-15,15,131
780,310,-15,15,131
765,325,-15,15,131
750,340,-15,15,131
735,355,-15,15,131
720,370,-15,15,131
705,385,-15,15,131
690,400,-15,15,131
675,415,-15,15,131
660,430,-15,15,131
645,445,-15,15,131
630,460,-15,15,131
615,475,-15,15,131
600,490,-15,15,131
585,505,-15,15,131
570,520,-15,15,131
555,535,-15,15,131
540,550,-15,15,131
525,565,-15,15,131
510,580,-15,15,131
495,595,-15,15,131
480,610,-15,15,131
465,625,-15,15,131
450,640,-15,15,131
435,655,-15,15,131
420,670,-15,15,131
405,685,-15,15,131
390,700,-15,15,131
375,715,-15,15,131
360,730,-15,15,131
345,745,-15,15,131
330,760,-15,15,131
330,760,-15,-15,131
315,745,-15,-15,131
300,730,-15,-15,131
285,715,-15,-15,131
270,700,-15,-15,131
255,685,-15,-15,131
240,670,-15,-15,131
225,655,-15,-15,131
210,640,-15,-15,131
195,625,-15,-15,131
180,610,-15,-15,131
165,595,-15,-15,131
150,580,-15,-15,131
135,565,-15,-15,131
120,550,-15,-15,131
105,535,-15,-15,131
90,520,-15,-15,131
75,505,-15,-15,131
60,490,-15,-15,131
45,475,-15,-15,131
30,460,-15,-15,131
30,460,15,-15,131
45,445,15,-15,131
60,430,15,-15,131
75,415,15,-15,131
90,400,15,-15,131
105,385,15,-15,131
120,370,15,-15,131
135,355,15,-15,131
150,340,15,-15,131
165,325,15,-15,131
180,310,15,-15,137
195,295,15,-15,143
210,280,15,-15,149
225,265,15,-15,155
240,250,15,-15,162
255,235,15,-15,167
270,220,15,-15,172
285,205,15,-15,184
300,190,15,-15,193
315,175,15,-15,203
330,160,15,-15,212
345,145,15,-15,216
360,130,15,-15,225
375,115,15,-15,232
390,100,15,-15,246
405,85,15,-15,261
420,70,15,-15,274
435,55,15,-15,282
450,40,15,-15,294
450,40,15,15,302
465,55,15,15,304
480,70,15,15,312
495,85,15,15,321
510,100,15,15,327
525,115,15,15,342
540,130,15,15,360
555,145,15,15,370
570,160,15,15,385
585,175,15,15,393
600,190,15,15,400
615,205,15,15,419
630,220,15,15,440
645,235,15,15,459
660,250,15,15,472
675,265,15,15,482
690,280,15,15,506
705,295,15,15,524
720,310,15,15,532
735,325,15,15,541
750,340,15,15,543
765,355,15,15,548
780,370,15,15,557
795,385,15,15,562
810,400,15,15,567
825,415,15,15,572
840,430,15,15,573
855,445,15,15,573
870,460,15,15,574
885,475,15,15,578
900,490,15,15,595
915,505,15,15,613
930,520,15,15,625
945,535,15,15,654
960,550,15,15,668
975,565,15,15,671
990,580,15,15,687
1005,595,15,15,707
1020,610,15,15,710
1035,625,15,15,715
1050,640,15,15,718
1065,655,15,15,719
1080,670,15,15,719
1095,685,15,15,719
1110,700,15,15,719
1125,715,15,15,719
1140,730,15,15,719
1155,745,15,15,719
1170,760,15,15,719
1170,760,15,-15,719
1170,760,-15,-15,719
1155,745,-15,-15,719
1140,730,-15,-15,719
1125,715,-15,-15,719
1110,700,-15,-15,719
1095,685,-15,-15,719
1080,670,-15,-15,719
1065,655,-15,-15,719
1050,640,-15,-15,719
1035,625,-15,-15,719
1020,610,-15,-15,719
1005,595,-15,-15,719
990,580,-15,-15,719
975,565,-15,-15,719
960,550,-15,-15,719
945,535,-15,-15,719
930,520,-15,-15,719
915,505,-15,-15,719
900,490,-15,-15,719
885,475,-15,-15,719
870,460,-15,-15,719
855,445,-15,-15,719
840,430,-15,-15,719
825,415,-15,-15,719
810,400,-15,-15,719
795,385,-15,-15,719
780,370,-15,-15,719
765,355,-15,-15,719
750,340,-15,-15,719
735,325,-15,-15,719
720,310,-15,-15,719
705,295,-15,-15,719
690,280,-15,-15,719
675,265,-15,-15,719
660,250,-15,-15,719
645,235,-15,-15,719
630,220,-15,-15,719
615,205,-15,-15,719
600,190,-15,-15,719
585,175,-15,-15,719
570,160,-15,-15,719
555,145,-15,-15,719
540,130,-15,-15,719
525,115,-15,-15,719
510,100,-15,-15,719
495,85,-15,-15,719
480,70,-15,-15,719
465,55,-15,-15,719
450,40,-15,-15,719
450,40,-15,15,719
435,55,-15,15,719
420,70,-15,15,719
405,85,-15,15,719
390,100,-15,15,719
375,115,-15,15,719
360,130,-15,15,719
345,145,-15,15,719
330,160,-15,15,719
315,175,-15,15,719
300,190,-15,15,719
285,205,-15,15,719
270,220,-15,15,719
255,235,-15,15,719
240,250,-15,15,719
225,265,-15,15,719
210,280,-15,15,719
195,295,-15,15,719
180,310,-15,15,719
165,325,-15,15,719
150,340,-15,15,719
135,355,-15,15,719
120,370,-15,15,719
105,385,-15,15,719
90,400,-15,15,719
75,415,-15,15,719
60,430,-15,15,719
45,445,-15,15,721
30,460,-15,15,713
30,460,15,15,696
45,475,15,15,685
60,490,15,15,674
75,505,15,15,665
90,520,15,15,655
105,535,15,15,647
120,550,15,15,637
135,565,15,15,630
150,580,15,15,616
165,595,15,15,609
180,610,15,15,604
195,625,15,15,594
210,640,15,15,583
225,655,15,15,579
240,670,15,15,573
255,685,15,15,561
270,700,15,15,558
285,715,15,15,551
300,730,15,15,547
315,745,15,15,539
330,760,15,15,533
330,760,15,-15,532
345,745,15,-15,525
360,730,15,-15,523
375,715,15,-15,521
390,700,15,-15,520
405,685,15,-15,516
420,670,15,-15,509
435,655,15,-15,504
450,640,15,-15,495
465,625,15,-15,486
480,610,15,-15,481
495,595,15,-15,478
510,580,15,-15,469
525,565,15,-15,460
540,550,15,-15,450
555,535,15,-15,445
570,520,15,-15,440
585,505,15,-15,432
600,490,15,-15,430
615,475,15,-15,429
630,460,15,-15,422
645,445,15,-15,414
660,430,15,-15,408
675,415,15,-15,403
690,400,15,-15,391
705,385,15,-15,378
720,370,15,-15,368
735,355,15,-15,359
750,340,15,-15,350
765,325,15,-15,344
780,310,15,-15,337
795,295,15,-15,327
810,280,15,-15,322
825,265,15,-15,310
840,250,15,-15,298
855,235,15,-15,291
870,220,15,-15,282
885,205,15,-15,277
900,190,15,-15,276
915,175,15,-15,276
930,160,15,-15,274
945,145,15,-15,270
960,130,15,-15,264
975,115,15,-15,262
990,100,15,-15,259
1005,85,15,-15,253
1020,70,15,-15,249
1035,55,15,-15,245
1050,40,15,-15,236
1050,40,15,15,226
1065,55,15,15,220
1080,70,15,15,214
1095,85,15,15,204
1110,100,15,15,201
1125,115,15,15,198
1140,130,15,15,197
1155,145,15,15,197
1170,160,15,15,194
1170,160,-15,15,190
1155,175,-15,15,190
1140,190,-15,15,190
1125,205,-15,15,190
1110,220,-15,15,190
1095,235,-15,15,190
1080,250,-15,15,190
1065,265,-15,15,190
1050,280,-15,15,190
1035,295,-15,15,190
1020,310,-15,15,190
1005,325,-15,15,190
990,340,-15,15,190
975,355,-15,15,190
960,370,-15,15,190
945,385,-15,15,190
930,400,-15,15,190
915,415,-15,15,190
900,430,-15,15,190
885,445,-15,15,190
870,460,-15,15,190
855,475,-15,15,190
840,490,-15,15,190
825,505,-15,15,190
810,520,-15,15,190
795,535,-15,15,190
780,550,-15,15,190
765,565,-15,15,190
750,580,-15,15,190
735,595,-15,15,190
720,610,-15,15,190
705,625,-15,15,190
690,640,-15,15,190
675,655,-15,15,190
660,670,-15,15,190
645,685,-15,15,190
630,700,-15,15,190
615,715,-15,15,190
600,730,-15,15,190
585,745,-15,15,189
570,760,-15,15,189
570,760,-15,-15,189
555,745,-15,-15,189
540,730,-15,-15,189
525,715,-15,-15,189
510,700,-15,-15,189
495,685,-15,-15,189
480,670,-15,-15,196
465,655,-15,-15,200
450,640,-15,-15,206
435,625,-15,-15,206
420,610,-15,-15,206
405,595,-15,-15,206
390,580,-15,-15,206
375,565,-15,-15,206
360,550,-15,-15,206
345,535,-15,-15,206
330,520,-15,-15,206
315,505,-15,-15,206
300,490,-15,-15,206
285,475,-15,-15,206
270,460,-15,-15,206
255,445,-15,-15,206
240,430,-15,-15,206
225,415,-15,-15,210
210,400,-15,-15,220
195,385,-15,-15,226
180,370,-15,-15,235
165,355,-15,-15,235
150,340,-15,-15,235
135,325,-15,-15,235
120,310,-15,-15,245
105,295,-15,-15,246
90,280,-15,-15,246
75,265,-15,-15,246
60,250,-15,-15,246
45,235,-15,-15,246
30,220,-15,-15,246
30,220,15,-15,246
45,205,15,-15,246
60,190,15,-15,246
75,175,15,-15,247
90,160,15,-15,247
105,145,15,-15,255
120,130,15,-15,261
135,115,15,-15,261
150,100,15,-15,262
165,85,15,-15,262
180,70,15,-15,262
195,55,15,-15,266
210,40,15,-15,273
210,40,15,15,284
225,55,15,15,287
240,70,15,15,293
255,85,15,15,298
270,100,15,15,299
285,115,15,15,299
300,130,15,15,308
315,145,15,15,321
330,160,15,15,339
345,175,15,15,367
360,190,15,15,390
375,205,15,15,406
390,220,15,15,420
405,235,15,15,433
420,250,15,15,445
435,265,15,15,454
450,280,15,15,459
465,295,15,15,467
480,310,15,15,479
495,325,15,15,482
510,340,15,15,483
525,355,15,15,485
540,370,15,15,485
555,385,15,15,486
570,400,15,15,489
585,415,15,15,490
600,430,15,15,492
615,445,15,15,496
630,460,15,15,496
645,475,15,15,496
660,490,15,15,496
675,505,15,15,496
690,520,15,15,502
705,535,15,15,519
720,550,15,15,542
735,565,15,15,569
750,580,15,15,573
765,595,15,15,575
780,610,15,15,575
795,625,15,15,576
810,640,15,15,576
825,655,15,15,576
840,670,15,15,578
855,685,15,15,582
870,700,15,15,583
885,715,15,15,583
900,730,15,15,583
915,745,15,15,583
930,760,15,15,583
930,760,15,-15,583
945,745,15,-15,583
960,730,15,-15,581
975,715,15,-15,577
990,700,15,-15,577
1005,685,15,-15,577
1020,670,15,-15,571
1035,655,15,-15,571
1050,640,15,-15,571
1065,625,15,-15,569
1080,610,15,-15,565
1095,595,15,-15,563
1110,580,15,-15,550
1125,565,15,-15,536
1140,550,15,-15,528
1155,535,15,-15,521
1170,520,15,-15,521
1170,520,-15,-15,520
1155,505,-15,-15,516
1140,490,-15,-15,506
1125,475,-15,-15,493
1110,460,-15,-15,483
1095,445,-15,-15,474
1080,430,-15,-15,465
1065,415,-15,-15,464
1050,400,-15,-15,460
1035,385,-15,-15,460
1020,370,-15,-15,459
1005,355,-15,-15,459
990,340,-15,-15,458
975,325,-15,-15,457
960,310,-15,-15,451
945,295,-15,-15,451
930,280,-15,-15,447
915,265,-15,-15,447
900,250,-15,-15,447
885,235,-15,-15,447
870,220,-15,-15,447
855,205,-15,-15,447
840,190,-15,-15,447
825,175,-15,-15,447
810,160,-15,-15,447
795,145,-15,-15,447
780,130,-15,-15,447
765,115,-15,-15,447
750,100,-15,-15,447
735,85,-15,-15,447
720,70,-15,-15,447
705,55,-15,-15,447
690,40,-15,-15,447
690,40,-15,15,447
675,55,-15,15,447
660,70,-15,15,447
645,85,-15,15,447
630,100,-15,15,447
615,115,-15,15,447
600,130,-15,15,447
585,145,-15,15,447
570,160,-15,15,447
555,175,-15,15,447
540,190,-15,15,447
525,205,-15,15,447
510,220,-15,15,447
495,235,-15,15,447
480,250,-15,15,447
465,265,-15,15,447
450,280,-15,15,447
435,295,-15,15,447
420,310,-15,15,447
405,325,-15,15,447
390,340,-15,15,447
375,355,-15,15,447
360,370,-15,15,447
345,385,-15,15,447
330,400,-15,15,447
315,415,-15,15,447
300,430,-15,15,447
285,445,-15,15,447
270,460,-15,15,447
255,475,-15,15,447
240,490,-15,15,447
225,505,-15,15,447
210,520,-15,15,447
195,535,-15,15,447
180,550,-15,15,447
165,565,-15,15,447
150,580,-15,15,447
135,595,-15,15,447
120,610,-15,15,447
105,625,-15,15,447
90,640,-15,15,447
75,655,-15,15,447
60,670,-15,15,447
45,685,-15,15,447
30,700,-15,15,447
30,700,15,15,447
45,715,15,15,447
60,730,15,15,447
75,745,15,15,447
90,760,15,15,447
90,760,15,-15,447
105,745,15,-15,447
120,730,15,-15,447
135,715,15,-15,447
150,700,15,-15,447
165,685,15,-15,447
180,670,15,-15,447
195,655,15,-15,447
210,640,15,-15,447
225,625,15,-15,446
240,610,15,-15,445
255,595,15,-15,445
270,580,15,-15,444
285,565,15,-15,434
300,550,15,-15,428
315,535,15,-15,425
330,520,15,-15,414
345,505,15,-15,401
360,490,15,-15,388
375,475,15,-15,382
390,460,15,-15,378
405,445,15,-15,377
420,430,15,-15,377
435,415,15,-15,377
450,400,15,-15,374
465,385,15,-15,373
480,370,15,-15,373
495,355,15,-15,373
510,340,15,-15,373
525,325,15,-15,368
540,310,15,-15,364
555,295,15,-15,363
570,280,15,-15,358
585,265,15,-15,354
600,250,15,-15,352
615,235,15,-15,348
630,220,15,-15,347
645,205,15,-15,347
660,190,15,-15,347
675,175,15,-15,347
690,160,15,-15,347
705,145,15,-15,347
720,130,15,-15,347
735,115,15,-15,347
750,100,15,-15,347
765,85,15,-15,352
780,70,15,-15,361
795,55,15,-15,371
810,40,15,-15,377
810,40,15,15,383
825,55,15,15,385
840,70,15,15,385
855,85,15,15,388
870,100,15,15,396
885,115,15,15,404
900,130,15,15,412
915,145,15,15,415
930,160,15,15,415
945,175,15,15,415
960,190,15,15,420
975,205,15,15,423
990,220,15,15,429
1005,235,15,15,436
1020,250,15,15,437
1035,265,15,15,437
1050,280,15,15,437
1065,295,15,15,437
1080,310,15,15,437
1095,325,15,15,437
1110,340,15,15,437
1125,355,15,15,437
1140,370,15,15,437
1155,385,15,15,437
1170,400,15,15,437
1170,400,-15,15,437
1155,415,-15,15,437
1140,430,-15,15,440
1125,445,-15,15,450
1110,460,-15,15,450
1095,475,-15,15,450
1080,490,-15,15,450
1065,505,-15,15,450
1050,520,-15,15,450
1035,535,-15,15,450
1020,550,-15,15,450
1005,565,-15,15,450
990,580,-15,15,450
975,595,-15,15,450
960,610,-15,15,450
945,625,-15,15,450
930,640,-15,15,450
915,655,-15,15,450
900,670,-15,15,450
885,685,-15,15,450
870,700,-15,15,450
855,715,-15,15,450
840,730,-15,15,450
825,745,-15,15,450
810,760,-15,15,450
810,760,-15,-15,450
795,745,-15,-15,450
780,730,-15,-15,450
765,715,-15,-15,450
750,700,-15,-15,450
735,685,-15,-15,450
720,670,-15,-15,450
705,655,-15,-15,450
690,640,-15,-15,450
675,625,-15,-15,450
660,610,-15,-15,450
645,595,-15,-15,450
630,580,-15,-15,450
615,565,-15,-15,450
600,550,-15,-15,450
585,535,-15,-15,450
570,520,-15,-15,450
555,505,-15,-15,450
540,490,-15,-15,450
525,475,-15,-15,450
510,460,-15,-15,450
495,445,-15,-15,450
480,430,-15,-15,450
465,415,-15,-15,450
450,400,-15,-15,450
435,385,-15,-15,450
420,370,-15,-15,450
405,355,-15,-15,451
390,340,-15,-15,451
375,325,-15,-15,451
360,310,-15,-15,451
345,295,-15,-15,451
330,280,-15,-15,451
315,265,-15,-15,451
300,250,-15,-15,451
285,235,-15,-15,451
270,220,-15,-15,451
255,205,-15,-15,451
240,190,-15,-15,451
225,175,-15,-15,451
210,160,-15,-15,451
195,145,-15,-15,451
180,130,-15,-15,451
165,115,-15,-15,451
150,100,-15,-15,451
135,85,-15,-15,451
120,70,-15,-15,451
105,55,-15,-15,451
90,40,-15,-15,451
90,40,-15,15,451
75,55,-15,15,451
60,70,-15,15,451
45,85,-15,15,451
30,100,-15,15,451
30,100,15,15,451
45,115,15,15,451
60,130,15,15,451
75,145,15,15,451
90,160,15,15,451
105,175,15,15,451
120,190,15,15,451
135,205,15,15,451
150,220,15,15,451
165,235,15,15,451
180,250,15,15,451
195,265,15,15,451
210,280,15,15,451
225,295,15,15,451
240,310,15,15,451
255,325,15,15,451
270,340,15,15,451
285,355,15,15,451
300,370,15,15,451
315,385,15,15,451
330,400,15,15,451
345,415,15,15,451
360,430,15,15,451
375,445,15,15,451
390,460,15,15,451
405,475,15,15,451
420,490,15,15,451
435,505,15,15,451
450,520,15,15,451
465,535,15,15,451
480,550,15,15,451
495,565,15,15,451
510,580,15,15,451
525,595,15,15,451
540,610,15,15,451
555,625,15,15,443
570,640,15,15,434
585,655,15,15,430
600,670,15,15,429
615,685,15,15,429
630,700,15,15,429
645,715,15,15,428
660,730,15,15,427
675,745,15,15,423
690,760,15,15,421
690,760,15,-15,416
705,745,15,-15,410
720,730,15,-15,409
735,715,15,-15,406
750,700,15,-15,399
765,685,15,-15,396
780,670,15,-15,393
795,655,15,-15,389
810,640,15,-15,384
825,625,15,-15,380
840,610,15,-15,372
855,595,15,-15,369
870,580,15,-15,358
885,565,15,-15,346
900,550,15,-15,338
915,535,15,-15,331
930,520,15,-15,322
945,505,15,-15,313
960,490,15,-15,306
975,475,15,-15,297
990,460,15,-15,293
1005,445,15,-15,287
1020,430,15,-15,287
1035,415,15,-15,287
1050,400,15,-15,287
1065,385,15,-15,287
1080,370,15,-15,287
1095,355,15,-15,287
1110,340,15,-15,289
1125,325,15,-15,316
1140,310,15,-15,357
1155,295,15,-15,367
1170,280,15,-15,370
1185,265,15,-15,370
1200,250,15,-15,370
1215,235,15,-15,370
1230,220,15,-15,370
1245,205,15,-15,370
1260,190,15,-15,370
1275,175,15,-15,370
1290,160,15,-15,370
1305,145,15,-15,359
1320,130,15,-15,331
1335,115,15,-15,301
1350,100,15,-15,293
1365,85,15,-15,290
1380,70,15,-15,290
1395,55,15,-15,290
1410,40,15,-15,290
1410,40,15,15,284
1425,55,15,15,282
1440,70,15,15,278
1455,85,15,15,271
1470,100,15,15,261
1485,115,15,15,254
1500,130,15,15,238
1515,145,15,15,211
1530,160,15,15,183
1530,160,-15,15,160
1530,160,15,15,131
1530,160,-15,15,102
1515,175,-15,15,89
1500,190,-15,15,89
1485,205,-15,15,89
1470,220,-15,15,89
1455,235,-15,15,89
1440,250,-15,15,89
1425,265,-15,15,89
1410,280,-15,15,89
1395,295,-15,15,89
1380,310,-15,15,89
1365,325,-15,15,89
1350,340,-15,15,89
1335,355,-15,15,89
1320,370,-15,15,89
1305,385,-15,15,89
1290,400,-15,15,89
1275,415,-15,15,89
1260,430,-15,15,89
1245,445,-15,15,89
1230,460,-15,15,89
1215,475,-15,15,89
1200,490,-15,15,89
1185,505,-15,15,89
